,a,b,c,d,e,f
0,1948,1.214,0.243,0.1454,1.415,0.612
1,1949,1.354,0.26,0.2181,1.384,0.559
2,1950,1.569,0.278,0.3157,1.388,0.573
3,1951,1.948,0.297,0.394,1.55,0.564
4,1952,2.265,0.31,0.3559,1.802,0.574
5,1953,2.731,0.322,0.3593,1.926,0.711
6,1954,3.025,0.335,0.4025,1.964,0.776
7,1955,3.562,0.35,0.3961,2.116,0.827
8,1956,3.979,0.361,0.3822,2.435,0.8
9,1957,4.42,0.379,0.3045,2.707,0.921
10,1958,4.563,0.391,0.3284,2.706,1.067
11,1959,5.385,0.426,0.3856,2.846,1.083
12,1960,5.554,0.441,0.3193,3.089,1.481
13,1961,5.465,0.46,0.3079,3.122,1.736
14,1962,5.825,0.485,0.3783,3.184,1.926
15,1963,6.876,0.506,0.418,3.263,2.041
16,1964,7.823,0.538,0.5163,3.412,1.997
